Trajectories
100
		platform:points1			platform:points2			platform:points3			platform:points4			platform:points5			platform:points6			platform:points7			platform:points8			platform:points9			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	80.3694	-39.55	806.314	-337.501	-64.2295	805.836	-337.604	65.3035	824.219	77.3697	90.9967	785.989	72.9625	68.0393	694.286	-341.693	85.1659	735.914	-341.364	-43.8343	714.708	76.5941	-61.4758	716.395	-143.016	10.8939	564.113
2	0	80.3586	-39.5833	806.31	-337.516	-64.2	805.835	-337.598	65.322	824.224	77.3794	90.9599	785.994	72.9686	68.0158	694.289	-341.682	85.2004	735.927	-341.379	-43.802	714.707	76.5804	-61.5046	716.392	-143.02	10.8928	564.114
3	0	80.3541	-39.6338	806.304	-337.519	-64.2013	805.837	-337.59	65.3351	824.233	77.3882	90.9343	785.997	72.9738	67.9972	694.29	-341.673	85.221	735.926	-341.377	-43.7826	714.703	76.5776	-61.5356	716.386	-143.023	10.9151	564.112
4	0	80.3509	-39.648	806.294	-337.53	-64.1681	805.833	-337.576	65.3717	824.239	77.3947	90.9023	785.991	72.981	67.9802	694.289	-341.659	85.2661	735.936	-341.381	-43.7599	714.709	76.5662	-61.5524	716.378	-143.027	10.931	564.114
5	0	80.348	-39.656	806.289	-337.542	-64.1423	805.834	-337.578	65.382	824.232	77.4068	90.876	785.993	72.9913	67.9596	694.291	-341.651	85.2916	735.94	-341.396	-43.7066	714.706	76.548	-61.5643	716.366	-143.027	10.938	564.116
6	0	80.3422	-39.6901	806.288	-337.541	-64.1315	805.835	-337.566	65.4247	824.231	77.4176	90.8669	786.002	73.0101	68.1428	694.406	-341.648	85.306	735.946	-341.396	-43.6618	714.697	76.5317	-61.6028	716.361	-143.034	10.9483	564.118
7	0	80.3354	-39.7172	806.287	-337.55	-64.1191	805.836	-337.559	65.432	824.231	77.4208	90.8482	786.013	73.0008	67.9274	694.301	-341.651	85.3172	735.949	-341.411	-43.6526	714.692	76.5176	-61.6464	716.359	-143.034	10.9579	564.112
8	0	80.3285	-39.7364	806.291	-337.562	-64.1047	805.831	-337.567	65.439	824.228	77.4208	90.8355	786.022	73.001	67.9136	694.302	-341.636	85.3589	735.944	-341.42	-43.6289	714.68	76.5004	-61.648	716.358	-143.035	10.9667	564.113
9	0	80.3204	-39.7503	806.283	-337.566	-64.0975	805.825	-337.561	65.4601	824.231	77.4308	90.8331	786.029	73.0088	67.9118	694.308	-341.635	85.3605	735.941	-341.427	-43.5957	714.678	76.4904	-61.6715	716.348	-143.038	10.9685	564.107
10	0	80.3205	-39.7464	806.285	-337.562	-64.096	805.816	-337.56	65.4735	824.222	77.4324	90.8137	786.034	73.0127	67.8934	694.309	-341.63	85.3621	735.938	-341.434	-43.58	714.66	76.4821	-61.6975	716.349	-143.037	10.9784	564.105
11	0	80.3192	-39.7673	806.288	-337.56	-64.0803	805.818	-337.556	65.4639	824.22	77.4395	90.8115	786.041	73.0212	67.896	694.313	-341.627	85.3879	735.942	-341.423	-43.574	714.667	76.4743	-61.7002	716.346	-143.027	10.9892	564.107
12	0	80.3207	-39.7647	806.292	-337.555	-64.1048	805.824	-337.553	65.4823	824.216	77.4409	90.8218	786.048	73.0224	67.9059	694.315	-341.62	85.3749	735.938	-341.435	-43.55	714.658	76.4702	-61.722	716.354	-143.031	10.9842	564.108
13	0	80.3195	-39.7565	806.297	-337.558	-64.1067	805.826	-337.551	65.4712	824.211	77.4377	90.8164	786.055	73.0278	67.8935	694.327	-341.624	85.3844	735.935	-341.42	-43.548	714.65	76.4718	-61.7197	716.356	-143.023	10.989	564.105
14	0	80.3169	-39.7408	806.305	-337.56	-64.0969	805.817	-337.561	65.4768	824.199	77.4384	90.8285	786.058	73.0303	67.9176	694.327	-341.62	85.3994	735.929	-341.429	-43.5398	714.639	76.4596	-61.7126	716.356	-143.022	10.9898	564.107
15	0	80.3192	-39.7443	806.302	-337.557	-64.1132	805.81	-337.561	65.4644	824.193	77.438	90.8378	786.062	73.031	67.9095	694.333	-341.631	85.3727	735.922	-341.422	-43.5495	714.636	76.4743	-61.7023	716.364	-143.018	10.9876	564.104
16	0	80.3266	-39.7553	806.311	-337.554	-64.1358	805.813	-337.56	65.4421	824.192	77.4325	90.8406	786.065	73.0265	67.9239	694.347	-341.623	85.378	735.919	-341.415	-43.5823	714.629	76.478	-61.7127	716.37	-143.012	10.9756	564.105
17	0	80.3312	-39.7272	806.319	-337.543	-64.1453	805.81	-337.562	65.4409	824.191	77.4274	90.8514	786.068	73.0268	67.9271	694.342	-341.633	85.3433	735.911	-341.41	-43.5831	714.629	76.4765	-61.6929	716.381	-143.004	10.9746	564.1
18	0	80.3314	-39.706	806.329	-337.541	-64.1596	805.813	-337.572	65.4243	824.182	77.4214	90.8733	786.072	73.0266	67.9571	694.344	-341.632	85.3282	735.906	-341.409	-43.5879	714.622	76.4856	-61.6703	716.385	-143	10.9688	564.105
19	0	80.331	-39.6806	806.335	-337.534	-64.1694	805.803	-337.58	65.4113	824.169	77.4161	90.8951	786.077	73.0198	67.9693	694.348	-341.651	85.316	735.889	-341.397	-43.6014	714.617	76.4964	-61.6563	716.391	-143	10.959	564.101
20	0	80.3379	-39.6479	806.342	-337.533	-64.2161	805.808	-337.589	65.3951	824.164	77.4033	90.907	786.078	73.0157	67.9898	694.347	-341.655	85.297	735.881	-341.396	-43.6336	714.612	76.5066	-61.6365	716.398	-142.991	10.9476	564.1
21	0	80.3474	-39.6321	806.352	-337.517	-64.2419	805.81	-337.595	65.3551	824.161	77.3931	90.9193	786.075	73.009	68.0046	694.351	-341.659	85.2753	735.881	-341.383	-43.6788	714.617	76.5251	-61.629	716.417	-142.982	10.9308	564.101
